# x_m,y_m,w_tr_right_m,w_tr_left_m
3.2616,33.8390,0.7544,0.7544
3.2616,33.7431,0.7544,0.7544
3.2616,33.6473,0.7544,0.7544
3.1658,33.5514,0.6585,0.6585
3.1658,33.4556,0.6633,0.6633
3.1658,33.3597,0.6775,0.6775
3.1658,33.2639,0.7007,0.7007
3.1658,33.1680,0.7323,0.7323
3.1658,33.0722,0.7544,0.7544
3.1658,32.9763,0.7544,0.7544
3.1658,32.8805,0.7544,0.7544
3.1658,32.7846,0.7544,0.7544
3.1658,32.6888,0.7544,0.7544
3.1658,32.5929,0.7544,0.7544
3.0699,32.4971,0.6585,0.6585
3.0699,32.4012,0.6633,0.6633
3.0699,32.3054,0.6775,0.6775
3.0699,32.2095,0.7007,0.7007
3.0699,32.1137,0.7323,0.7323
3.0699,32.0178,0.7544,0.7544
3.0699,31.9220,0.7544,0.7544
3.0699,31.8261,0.7544,0.7544
3.0699,31.7303,0.7544,0.7544
3.0699,31.6344,0.7544,0.7544
3.0699,31.5386,0.7544,0.7544
2.9741,31.4427,0.6585,0.6585
2.9741,31.3469,0.6633,0.6633
2.9741,31.2510,0.6775,0.6775
2.9741,31.1552,0.7007,0.7007
2.9741,31.0593,0.7323,0.7323
2.9741,30.9635,0.7544,0.7544
2.9741,30.8676,0.7544,0.7544
2.9741,30.7718,0.7544,0.7544
2.9741,30.6759,0.7544,0.7544
2.9741,30.5801,0.7544,0.7544
2.9741,30.4842,0.7544,0.7544
2.8782,30.3884,0.6585,0.6585
2.8782,30.2925,0.6633,0.6633
2.8782,30.1967,0.6775,0.6775
2.8782,30.1008,0.7007,0.7007
2.8782,30.0050,0.7323,0.7323
2.8782,29.9091,0.7544,0.7544
2.8782,29.8133,0.7544,0.7544
2.8782,29.7174,0.7544,0.7544
2.8782,29.6216,0.7544,0.7544
2.8782,29.5257,0.7544,0.7544
2.8782,29.4299,0.7544,0.7544
2.7824,29.3340,0.6633,0.6633
2.7824,29.2382,0.6775,0.6775
2.7824,29.1423,0.7007,0.7007
2.7824,29.0465,0.7323,0.7323
2.7824,28.9506,0.7544,0.7544
2.7824,28.8548,0.7544,0.7544
2.7824,28.7589,0.7544,0.7544
2.7824,28.6631,0.7544,0.7544
2.7824,28.5672,0.7544,0.7544
2.7824,28.4714,0.7544,0.7544
2.6865,28.3755,0.6585,0.6585
2.6865,28.2797,0.6633,0.6633
2.6865,28.1838,0.6775,0.6775
2.6865,28.0880,0.7007,0.7007
2.6865,27.9921,0.7323,0.7323
2.6865,27.8963,0.7544,0.7544
2.6865,27.8004,0.7544,0.7544
2.6865,27.7046,0.7544,0.7544
2.6865,27.6087,0.7544,0.7544
2.6865,27.5129,0.7544,0.7544
2.6865,27.4170,0.7544,0.7544
2.5907,27.3212,0.6633,0.6633
2.5907,27.2253,0.6775,0.6775
2.5907,27.1295,0.7007,0.7007
2.5907,27.0336,0.7323,0.7323
2.5907,26.9378,0.7544,0.7544
2.5907,26.8419,0.7544,0.7544
2.5907,26.7461,0.7544,0.7544
2.5907,26.6502,0.7544,0.7544
2.5907,26.5544,0.7544,0.7544
2.5907,26.4585,0.7544,0.7544
2.4948,26.3627,0.6585,0.6585
2.4948,26.2668,0.6633,0.6633
2.4948,26.1710,0.6775,0.6775
2.4948,26.0751,0.7007,0.7007
2.4948,25.9793,0.7323,0.7323
2.4948,25.8834,0.7544,0.7544
2.4948,25.7876,0.7544,0.7544
2.4948,25.6917,0.7544,0.7544
2.4948,25.5959,0.7544,0.7544
2.4948,25.5000,0.7544,0.7544
2.4948,25.4042,0.7544,0.7544
2.3990,25.3083,0.6633,0.6633
2.3990,25.2125,0.6775,0.6775
2.3990,25.1166,0.7007,0.7007
2.3990,25.0208,0.7323,0.7323
2.3990,24.9249,0.7544,0.7544
2.3990,24.8291,0.7544,0.7544
2.3990,24.7332,0.7544,0.7544
2.3990,24.6374,0.7544,0.7544
2.3990,24.5415,0.7544,0.7544
2.3990,24.4457,0.7544,0.7544
2.3031,24.3498,0.6633,0.6633
2.3031,24.2540,0.6775,0.6775
2.3031,24.1581,0.7007,0.7007
2.3031,24.0623,0.7323,0.7323
2.3031,23.9664,0.7544,0.7544
2.3031,23.8706,0.7544,0.7544
2.3031,23.7747,0.7544,0.7544
2.3031,23.6789,0.7544,0.7544
2.3031,23.5830,0.7544,0.7544
2.3031,23.4872,0.7544,0.7544
2.2073,23.3913,0.6633,0.6633
2.2073,23.2955,0.6775,0.6775
2.2073,23.1996,0.7007,0.7007
2.2073,23.1038,0.7323,0.7323
2.2073,23.0079,0.7544,0.7544
2.2073,22.9121,0.7544,0.7544
2.2073,22.8162,0.7544,0.7544
2.2073,22.7204,0.7544,0.7544
2.2073,22.6245,0.7544,0.7544
2.2073,22.5287,0.7544,0.7544
2.1114,22.4328,0.6633,0.6633
2.1114,22.3370,0.6775,0.6775
2.1114,22.2411,0.7007,0.7007
2.1114,22.1453,0.7323,0.7323
2.1114,22.0494,0.7544,0.7544
2.1114,21.9536,0.7544,0.7544
2.1114,21.8577,0.7544,0.7544
2.1114,21.7619,0.7544,0.7544
2.1114,21.6660,0.7544,0.7544
2.1114,21.5702,0.7544,0.7544
2.0156,21.4743,0.6633,0.6633
2.0156,21.3785,0.6775,0.6775
2.0156,21.2826,0.7007,0.7007
2.0156,21.1868,0.7323,0.7323
2.0156,21.0909,0.7544,0.7544
2.0156,20.9951,0.7544,0.7544
2.0156,20.8992,0.7544,0.7544
2.0156,20.8034,0.7544,0.7544
2.0156,20.7075,0.7544,0.7544
2.0156,20.6117,0.7544,0.7544
1.9197,20.5158,0.6633,0.6633
1.9197,20.4200,0.6775,0.6775
1.9197,20.3241,0.7007,0.7007
1.9197,20.2283,0.7323,0.7323
1.9197,20.1324,0.7544,0.7544
1.9197,20.0366,0.7544,0.7544
1.9197,19.9407,0.7544,0.7544
1.9197,19.8449,0.7544,0.7544
1.9197,19.7490,0.7544,0.7544
1.9197,19.6532,0.7544,0.7544
1.8239,19.5573,0.6633,0.6633
1.8239,19.4615,0.6775,0.6775
1.8239,19.3656,0.7007,0.7007
1.8239,19.2698,0.7323,0.7323
1.8239,19.1739,0.7544,0.7544
1.8239,19.0781,0.7544,0.7544
1.8239,18.9822,0.7544,0.7544
1.8239,18.8864,0.7544,0.7544
1.8239,18.7905,0.7544,0.7544
1.8239,18.6947,0.7544,0.7544
1.7280,18.5988,0.6633,0.6633
1.7280,18.5030,0.6775,0.6775
1.7280,18.4071,0.7007,0.7007
1.7280,18.3113,0.7323,0.7323
1.7280,18.2154,0.7544,0.7544
1.7280,18.1196,0.7544,0.7544
1.7280,18.0237,0.7544,0.7544
1.7280,17.9279,0.7544,0.7544
1.7280,17.8320,0.7544,0.7544
1.7280,17.7362,0.7544,0.7544
1.6322,17.6403,0.6633,0.6633
1.6322,17.5445,0.6775,0.6775
1.6322,17.4486,0.7007,0.7007
1.6322,17.3528,0.7323,0.7323
1.6322,17.2569,0.7544,0.7544
1.6322,17.1611,0.7544,0.7544
1.6322,17.0652,0.7544,0.7544
1.6322,16.9694,0.7544,0.7544
1.6322,16.8735,0.7544,0.7544
1.6322,16.7777,0.7544,0.7544
1.5363,16.6818,0.6633,0.6633
1.5363,16.5860,0.6775,0.6775
1.5363,16.4901,0.7007,0.7007
1.5363,16.3943,0.7323,0.7323
1.5363,16.2984,0.7544,0.7544
1.5363,16.2026,0.7544,0.7544
1.5363,16.1067,0.7544,0.7544
1.5363,16.0109,0.7544,0.7544
1.5363,15.9150,0.7544,0.7544
1.5363,15.8192,0.7544,0.7544
1.4405,15.7233,0.6633,0.6633
1.4405,15.6275,0.6775,0.6775
1.4405,15.5316,0.7007,0.7007
1.4405,15.4358,0.7323,0.7323
1.4405,15.3399,0.7544,0.7544
1.4405,15.2441,0.7544,0.7544
1.4405,15.1482,0.7544,0.7544
1.4405,15.0524,0.7544,0.7544
1.4405,14.9565,0.7544,0.7544
1.4405,14.8607,0.7544,0.7544
1.3446,14.7648,0.6585,0.6585
1.3446,14.6690,0.6633,0.6633
1.3446,14.5731,0.6775,0.6775
1.3446,14.4773,0.7007,0.7007
1.3446,14.3814,0.7323,0.7323
1.3446,14.2856,0.7544,0.7544
1.3446,14.1897,0.7544,0.7544
1.3446,14.0939,0.7544,0.7544
1.3446,13.9980,0.7544,0.7544
1.3446,13.9022,0.7544,0.7544
1.3446,13.8063,0.7544,0.7544
1.2488,13.7105,0.6633,0.6633
1.2488,13.6146,0.6775,0.6775
1.2488,13.5188,0.7007,0.7007
1.2488,13.4229,0.7323,0.7323
1.2488,13.3271,0.7544,0.7544
1.2488,13.2312,0.7544,0.7544
1.2488,13.1354,0.7544,0.7544
1.2488,13.0395,0.7544,0.7544
1.2488,12.9437,0.7544,0.7544
1.2488,12.8478,0.7544,0.7544
1.1529,12.7520,0.6633,0.6633
1.1529,12.6561,0.6775,0.6775
1.1529,12.5603,0.7007,0.7007
1.1529,12.4644,0.7323,0.7323
1.1529,12.3686,0.7544,0.7544
1.1529,12.2727,0.7544,0.7544
1.1529,12.1769,0.7544,0.7544
1.1529,12.0810,0.7544,0.7544
1.1529,11.9852,0.7544,0.7544
1.1529,11.8893,0.7544,0.7544
1.0571,11.7935,0.6633,0.6633
1.0571,11.6976,0.6775,0.6775
1.0571,11.6018,0.7007,0.7007
1.0571,11.5059,0.7323,0.7323
1.0571,11.4101,0.7544,0.7544
1.0571,11.3142,0.7544,0.7544
1.0571,11.2184,0.7544,0.7544
1.0571,11.1225,0.7544,0.7544
1.0571,11.0267,0.7544,0.7544
1.0571,10.9308,0.7544,0.7544
0.9612,10.8350,0.6633,0.6633
0.9612,10.7391,0.6775,0.6775
0.9612,10.6433,0.7007,0.7007
0.9612,10.5474,0.7323,0.7323
0.9612,10.4516,0.7544,0.7544
0.9612,10.3557,0.7544,0.7544
0.9612,10.2599,0.7544,0.7544
0.9612,10.1640,0.7544,0.7544
0.9612,10.0682,0.7544,0.7544
0.9612,9.9723,0.7544,0.7544
0.8654,9.8765,0.6633,0.6633
0.8654,9.7806,0.6775,0.6775
0.8654,9.6848,0.7007,0.7007
0.8654,9.5889,0.7323,0.7323
0.8654,9.4931,0.7544,0.7544
0.8654,9.3972,0.7544,0.7544
0.8654,9.3014,0.7544,0.7544
0.8654,9.2055,0.7544,0.7544
0.8654,9.1097,0.7544,0.7544
0.8654,9.0138,0.7544,0.7544
0.7695,8.9180,0.6633,0.6633
0.7695,8.8221,0.6775,0.6775
0.7695,8.7263,0.7007,0.7007
0.7695,8.6304,0.7323,0.7323
0.7695,8.5346,0.7544,0.7544
0.7695,8.4387,0.7544,0.7544
0.7695,8.3429,0.7544,0.7544
0.7695,8.2470,0.7544,0.7544
0.7695,8.1512,0.7544,0.7544
0.7695,8.0553,0.7544,0.7544
0.6737,7.9595,0.6585,0.6585
0.6737,7.8636,0.6633,0.6633
0.6737,7.7678,0.6775,0.6775
0.6737,7.6719,0.7007,0.7007
0.6737,7.5761,0.7323,0.7323
0.6737,7.4802,0.7544,0.7544
0.6737,7.3844,0.7544,0.7544
0.6737,7.2885,0.7544,0.7544
0.6737,7.1927,0.7544,0.7544
0.6737,7.0968,0.7544,0.7544
0.6737,7.0010,0.7544,0.7544
0.5778,6.9051,0.6633,0.6633
0.5778,6.8093,0.6775,0.6775
0.5778,6.7134,0.7007,0.7007
0.5778,6.6176,0.7323,0.7323
0.5778,6.5217,0.7544,0.7544
0.5778,6.4259,0.7544,0.7544
0.5778,6.3300,0.7544,0.7544
0.5778,6.2342,0.7544,0.7544
0.5778,6.1383,0.7544,0.7544
0.5778,6.0425,0.7544,0.7544
0.4820,5.9466,0.6633,0.6633
0.4820,5.8508,0.6775,0.6775
0.4820,5.7549,0.7007,0.7007
0.4820,5.6591,0.7323,0.7323
0.4820,5.5632,0.7544,0.7544
0.4820,5.4674,0.7544,0.7544
0.4820,5.3715,0.7544,0.7544
0.4820,5.2757,0.7544,0.7544
0.4820,5.1798,0.7544,0.7544
0.4820,5.0840,0.7544,0.7544
0.3861,4.9881,0.6633,0.6633
0.3861,4.8923,0.6775,0.6775
0.3861,4.7964,0.7007,0.7007
0.3861,4.7006,0.7323,0.7323
0.3861,4.6047,0.7544,0.7544
0.3861,4.5089,0.7544,0.7544
0.3861,4.4130,0.7544,0.7544
0.3861,4.3172,0.7544,0.7544
0.3861,4.2213,0.7544,0.7544
0.3861,4.1255,0.7544,0.7544
0.2903,4.0296,0.6633,0.6633
0.2903,3.9338,0.6775,0.6775
0.2903,3.8379,0.7007,0.7007
0.2903,3.7421,0.7323,0.7323
0.2903,3.6462,0.7544,0.7544
0.2903,3.5504,0.7544,0.7544
0.2903,3.4545,0.7544,0.7544
0.2903,3.3587,0.7544,0.7544
0.2903,3.2628,0.7544,0.7544
0.2903,3.1670,0.7544,0.7544
0.1944,3.0711,0.6633,0.6633
0.1944,2.9753,0.6775,0.6775
0.1944,2.8794,0.7007,0.7007
0.1944,2.7836,0.7323,0.7323
0.1944,2.6877,0.7544,0.7544
0.1944,2.5919,0.7544,0.7544
0.1944,2.4960,0.7544,0.7544
0.1944,2.4002,0.7544,0.7544
0.1944,2.3043,0.7544,0.7544
0.1944,2.2085,0.7544,0.7544
0.0986,2.1126,0.6633,0.6633
0.0986,2.0168,0.6775,0.6775
0.0986,1.9209,0.7007,0.7007
0.0986,1.8251,0.7323,0.7323
0.0986,1.7292,0.7544,0.7544
0.0986,1.6334,0.7544,0.7544
0.0986,1.5375,0.7544,0.7544
0.0986,1.4417,0.7544,0.7544
0.0986,1.3458,0.7544,0.7544
0.0986,1.2500,0.7544,0.7544
0.0027,1.1541,0.6633,0.6633
0.0027,1.0583,0.6775,0.6775
0.0027,0.9624,0.7007,0.7007
0.0027,0.8666,0.7323,0.7323
0.0027,0.7707,0.7544,0.7544
0.0027,0.6749,0.7544,0.7544
0.0027,0.5790,0.7544,0.7544
0.0027,0.4832,0.7544,0.7544
0.0027,0.3873,0.7544,0.7544
0.0027,0.2915,0.7323,0.7323
-0.0931,0.1956,0.6585,0.6585
-0.0931,0.0998,0.6585,0.6585
-0.0931,0.0039,0.6585,0.6585
-0.0931,-0.0919,0.6633,0.6633
-0.0931,-0.1878,0.6775,0.6775
-0.0931,-0.2836,0.7007,0.7007
-0.0931,-0.3795,0.7323,0.7323
-0.0931,-0.4753,0.7544,0.7544
-0.0931,-0.5712,0.7544,0.7544
-0.0931,-0.6670,0.7544,0.7544
-0.0931,-0.7629,0.7544,0.7544
-0.0931,-0.8587,0.7323,0.7323
-0.0931,-0.9546,0.7007,0.7007
-0.1890,-1.0504,0.7007,0.7007
-0.1890,-1.1463,0.7323,0.7323
-0.1890,-1.2421,0.7544,0.7544
-0.1890,-1.3380,0.7544,0.7544
-0.1890,-1.4338,0.7544,0.7544
-0.1890,-1.5297,0.7544,0.7544
-0.1890,-1.6255,0.7544,0.7544
-0.1890,-1.7214,0.7544,0.7544
-0.2848,-1.8172,0.6585,0.6585
-0.2848,-1.9131,0.6633,0.6633
-0.2848,-2.0089,0.6775,0.6775
-0.2848,-2.1048,0.7007,0.7007
-0.2848,-2.2006,0.7323,0.7323
-0.2848,-2.2965,0.7544,0.7544
-0.2848,-2.3923,0.7544,0.7544
-0.2848,-2.4882,0.7544,0.7544
-0.2848,-2.5840,0.7544,0.7544
